term,definition
Aqueous humor,"The clear, watery fluid in the front part of the eye (between the cornea and the lens). The aqueous humor nourishes the lens and cornea (which have no blood supply) and maintains pressure inside the eye."
Anterior chamber,The fluid-filled space inside the eye between the cornea and the iris. This chamber holds the aqueous humor (fluid) and is part of the eye’s front segment.
Astigmatism,"A common vision condition caused by an irregular curvature of the cornea or lens. Instead of being perfectly round, the eye’s surface is shaped more like a football, which causes blurred or distorted vision at both far and near distances."
Cataract,"A clouding of the eye’s normally clear lens, which causes vision to become blurry or dim. Cataracts often develop with age and can make it feel like you are looking through a foggy or dirty window."
Choroid,The thin layer filled with blood vessels between the retina and the sclera (white of the eye). The choroid supplies the retina with oxygen and nutrients.
Ciliary body,"The ring of tissue toward the front of the eye that surrounds the lens. It contains the ciliary muscle and ciliary processes, which help the eye focus (by changing the lens shape) and produce the aqueous humor (the fluid in the eye), respectively."
Ciliary muscle,"The circular muscle within the ciliary body that adjusts the shape of the lens for focusing. When this muscle contracts or relaxes, it makes the lens thicker or thinner, allowing the eye to focus on objects at different distances."
Ciliary processes,The tiny structures on the ciliary body that produce aqueous humor (the eye’s internal fluid). These processes continually secrete fluid that fills the anterior and posterior chambers of the eye.
Cones,"The light-sensing cells in the retina that detect color and fine details. Cones work best in brighter light and allow us to see sharp, colorful images."
Conjunctiva,A transparent mucous membrane that covers the white part of the eye (sclera) and lines the inside of the eyelids. The conjunctiva helps lubricate and protect the eye.
Conjunctivitis,"Inflammation of the conjunctiva, often due to an infection or allergy. It’s commonly known as “pink eye” and causes redness, irritation, and sometimes discharge in the eye."
Cornea,"The clear, dome-shaped front surface of the eye. The cornea is like a window that lets light into the eye and begins focusing it. (It provides most of the eye’s focusing power.)"
Degeneration,"A gradual deterioration or breakdown of tissue, often due to aging or disease. In the eye, degeneration means part of the eye (for example, the retina or cornea) is losing its structure or function over time."
Diabetic retinopathy,"Damage to the retina caused by diabetes. High blood sugar levels can harm the small blood vessels in the retina, leading to bleeding, fluid leakage, and retinal changes that result in vision problems."
Drusen,"Small yellowish deposits that form under the retina, often in people over age 60. Drusen by themselves may not cause symptoms, but having many drusen is a risk factor for age-related macular degeneration (an eye disease affecting central vision)."
Endothelium,"A thin layer of cells that lines the inner surface of certain structures in the body. In the eye, the corneal endothelium is the single layer of cells on the inside of the cornea that pumps out excess fluid to keep the cornea clear."
Epithelium,"Layers of cells that cover surfaces or line cavities of the body. In the eye, for example, the cornea has an epithelium as its outermost layer – a thin layer of cells protecting the front of the eye."
Fluid buildup (edema),"An excessive accumulation of fluid in tissues or spaces, causing swelling. In the eye, fluid buildup can occur in or behind structures (like the retina), leading to increased pressure or swelling that impairs vision (for example, fluid buildup in the retina is called macular edema)."
Fovea,"A tiny pit in the center of the macula (the central area of the retina) where vision is sharpest. When you look directly at something, light is focused onto the fovea, giving you very clear detail for tasks like reading or recognizing faces."
Glaucoma,"A group of eye diseases usually caused by increased pressure inside the eye, leading to damage of the optic nerve. Glaucoma often has no early symptoms, but over time it can cause loss of peripheral (side) vision or blindness if not treated."
Hyaloid canal,"A narrow, clear channel that runs through the center of the vitreous humor (the gel in the eye) from the optic disc to the back of the lens. It is a remnant of fetal development and has no function in the adult eye."
Hyperopia (farsightedness),"A refractive condition where distant objects are seen more clearly than close ones. In hyperopia, it is hard to see up-close items (for example, reading text) clearly, while far-away objects may appear sharper."
