key,en,es,zh,tl,vi
app_title,"EyeCare Navigator","Navegador de Cuidado Ocular","眼科导航","Tagapag-navigate ng Pangangalaga sa Mata","Trình Điều Hướng Chăm Sóc Mắt"
ophthalmic_history,"Ophthalmic History","Historia Oftalmológica","眼科历史","Kasaysayan ng Ophthalmic","Lịch Sử Mắt"
calendar_tab,"Calendar","Calendario","日历","Kalendaryo","Lịch"
condition_entry,"Condition Entry","Entrada de Condición","病情输入","Pagpasok ng Kondisyon","Nhập Tình Trạng"
enter_condition,"Enter a condition:","Ingresa una condición:","请输入病情：","Ilagay ang kondisyon:","Nhập tình trạng:"
affected_eye,"Affected Eye:","Ojo afectado:","受影响的眼睛：","Apektadong Mata:","Mắt bị ảnh hưởng:"
right_eye,"Right Eye","Ojo derecho","右眼","Kanan na Mata","Mắt phải"
left_eye,"Left Eye","Ojo izquierdo","左眼","Kaliwa na Mata","Mắt trái"
both_eyes,"Both Eyes","Ambos ojos","双眼","Magkabilang Mata","Cả hai mắt"
check_condition,"Check Condition","Verificar condición","检查病情","Suriin ang Kondisyon","Kiểm tra tình trạng"
remove_condition,"Remove Last Condition","Eliminar la última condición","删除最后一项病情","Tanggalin ang Huling Kondisyon","Xóa tình trạng cuối"
saved_conditions,"Saved Conditions:","Condiciones guardadas:","已保存的病情:","Nakaligtas na Kondisyon:","Tình trạng đã lưu:"
drug_entry,"Drug Entry","Entrada de Medicamento","药物输入","Pagpasok ng Gamot","Nhập Thuốc"
enter_drug,"Enter a drug:","Ingresa un medicamento:","请输入药物：","Ilagay ang gamot:","Nhập thuốc:"
times_per_day,"Times per day:","Veces por día:","每日次数：","Bilang kada araw:","Số lần mỗi ngày:"
check_drug,"Check Drug","Verificar medicamento","检查药物","Suriin ang Gamot","Kiểm tra thuốc"
remove_drug,"Remove Last Drug","Eliminar el último medicamento","删除最后一项药物","Tanggalin ang Huling Gamot","Xóa thuốc cuối"
saved_drugs,"Saved Drugs:","Medicamentos guardados:","已保存的药物:","Nakaligtas na Gamot:","Thuốc đã lưu:"
patient_history_summary,"Patient History Summary","Resumen de Historia del Paciente","病史摘要","Buod ng Kasaysayan ng Pasyente","Tóm tắt Lịch sử Bệnh nhân"
treatment_entry,"Treatment Entry","Entrada de Tratamiento","治疗输入","Pagpasok ng Paggamot","Nhập Điều trị"
select_treatments,"Select Treatments:","Selecciona tratamientos:","选择治疗：","Pumili ng Paggamot:","Chọn Điều trị:"
add_treatment,"Add Treatment","Agregar tratamiento","添加治疗","Idagdag ang Paggamot","Thêm Điều trị"
remove_treatment,"Remove Treatment","Eliminar tratamiento","删除治疗","Tanggalin ang Paggamot","Xóa Điều trị"
saved_treatments,"Saved Treatments:","Tratamientos guardados:","已保存的治疗:","Nakaligtas na Paggamot:","Điều trị đã lưu:"
doctor_notes_question,"Anything Else Your Doctor Mentioned?","¿Algo más que su doctor mencionó?","医生还提到了其他事项吗？","May iba pa bang binanggit ng iyong doktor?","Có điều gì khác bác sĩ của bạn đã đề cập?"
